date,description,amount,type
2024-01-15,Starbucks Coffee,-4.50,debit
2024-01-15,Salary Deposit,3000.00,credit
2024-01-16,Uber Ride,-12.30,debit
2024-01-17,Grocery Store,-85.20,debit
2024-01-18,Netflix Subscription,-15.99,debit
2024-01-20,Restaurant Dinner,-45.00,debit
2024-01-22,Gas Station,-40.00,debit
2024-01-25,Amazon Purchase,-67.80,debit
2024-01-01,Salary Deposit,3000.00,credit
2024-01-02,Starbucks Coffee,-4.50,debit
2024-01-02,Uber Ride,-12.30,debit
2024-01-03,Grocery Store,-85.20,debit
2024-01-04,Netflix Subscription,-15.99,debit
2024-01-05,Restaurant Dinner,-45.00,debit
2024-01-06,Gas Station,-40.00,debit
2024-01-07,Amazon Purchase,-67.80,debit
2024-01-08,Movie Tickets,-18.00,debit
2024-01-09,Mobile Recharge,-10.00,debit
2024-01-10,Electricity Bill,-62.50,debit
2024-01-11,Water Bill,-25.00,debit
2024-01-12,Internet Bill,-30.00,debit
2024-01-13,Coffee Shop,-6.75,debit
2024-01-14,Lunch with Friends,-28.40,debit
2024-01-15,Salary Bonus,500.00,credit
2024-01-16,Uber Ride,-14.60,debit
2024-01-17,Grocery Store,-92.10,debit
2024-01-18,Spotify Subscription,-9.99,debit
2024-01-19,Online Course,-49.00,debit
2024-01-20,Restaurant Dinner,-52.30,debit
2024-01-21,Gas Station,-38.00,debit
2024-01-22,Amazon Purchase,-120.45,debit
2024-01-23,Pharmacy,-22.80,debit
2024-01-24,Coffee Shop,-5.25,debit
2024-01-25,Uber Ride,-16.90,debit
2024-01-26,Grocery Store,-78.60,debit
2024-01-27,Netflix Subscription,-15.99,debit
2024-01-28,Restaurant Dinner,-47.00,debit
2024-01-29,Gas Station,-42.00,debit
2024-01-30,Shopping Mall,-150.75,debit
2024-01-31,Freelance Payment,800.00,credit
2024-01-01,Salary Deposit,3000.00,credit
2024-01-01,House Rent,-850.00,debit
2024-01-02,Starbucks Coffee,-4.50,debit
2024-01-02,Uber Ride,-12.30,debit
2024-01-03,Grocery Store,-85.20,debit
2024-01-03,Electricity Bill,-62.50,debit
2024-01-04,Netflix Subscription,-15.99,debit
2024-01-04,Spotify Subscription,-9.99,debit
2024-01-05,Restaurant Dinner,-45.00,debit
2024-01-05,Gas Station,-40.00,debit
2024-01-06,Amazon Purchase,-67.80,debit
2024-01-06,Mobile Recharge,-10.00,debit
2024-01-07,Coffee Shop,-6.75,debit
2024-01-07,Movie Tickets,-18.00,debit
2024-01-08,Internet Bill,-30.00,debit
2024-01-08,Grocery Store,-92.10,debit
2024-01-09,Uber Ride,-14.60,debit
2024-01-09,Lunch with Friends,-28.40,debit
2024-01-10,Online Course,-49.00,debit
2024-01-10,Pharmacy,-22.80,debit
2024-01-11,Gas Station,-38.00,debit
2024-01-11,Shopping Mall,-150.75,debit
2024-01-12,Coffee Shop,-5.25,debit
2024-01-12,Restaurant Dinner,-52.30,debit
2024-01-13,Grocery Store,-78.60,debit
2024-01-13,Water Bill,-25.00,debit
2024-01-14,Uber Ride,-16.90,debit
2024-01-14,Amazon Purchase,-120.45,debit
2024-01-15,Salary Bonus,500.00,credit
2024-01-15,Netflix Subscription,-15.99,debit
2024-01-16,Gas Station,-42.00,debit
2024-01-16,Restaurant Dinner,-47.00,debit
2024-01-17,Grocery Store,-88.40,debit
2024-01-17,Coffee Shop,-7.20,debit
2024-01-18,Movie Tickets,-20.00,debit
2024-01-18,Mobile Recharge,-12.00,debit
2024-01-19,Freelance Payment,800.00,credit
2024-01-19,Shopping Mall,-210.30,debit
2024-01-20,Gas Station,-39.50,debit
2024-01-20,Restaurant Dinner,-55.00,debit
2024-01-21,Grocery Store,-95.75,debit
2024-01-21,Internet Bill,-30.00,debit
2024-01-22,Uber Ride,-18.20,debit
2024-01-22,Coffee Shop,-6.00,debit
2024-01-23,Amazon Purchase,-89.99,debit
2024-01-23,Pharmacy,-18.60,debit
2024-01-24,Restaurant Dinner,-48.00,debit
2024-01-24,Gas Station,-41.00,debit
2024-01-25,Grocery Store,-82.35,debit
2024-01-25,Movie Tickets,-22.00,debit
2024-01-26,Coffee Shop,-5.80,debit
2024-01-26,Uber Ride,-15.40,debit
2024-01-27,Shopping Mall,-175.90,debit
2024-01-27,Netflix Subscription,-15.99,debit
2024-01-28,Restaurant Dinner,-50.25,debit
2024-01-28,Gas Station,-44.00,debit
2024-01-29,Grocery Store,-90.10,debit
2024-01-29,Mobile Recharge,-11.00,debit
2024-01-30,Amazon Purchase,-134.60,debit
2024-01-30,Coffee Shop,-6.50,debit
2024-01-31,Freelance Payment,600.00,credit